UMAP 0,UMAP 1,cell_type,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7
7.982039,15.435342,Transitional B,IGHM,CD79B,TCL1A,IGKC,IGLC1,HLA-DRA,RGS2,CD74
-8.989977,14.015416,Reticulocyte,MALAT1,HBM,HBA2,HBB,HBA1,HBD,TPT1,FOS
-12.528984,13.46418,Reticulocyte,MALAT1,HBD,HBA2,HBB,HBA1,HBM,TPT1,AHSP
-19.556313,-7.720578,CD14+ Mono,S100A9,S100A8,LYZ,LGALS1,NEAT1,S100A12,AC020916.1,FCN1
-16.237322,-6.110731,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,FCN1,VCAN,JUNB,AC020656.1
16.93613,16.514063,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD79A,CD74,TCL1A,CD79B,IGHD
3.7829509,-13.574177,CD4+ T naive,FOS,JUN,H1FX,HBA2,JUNB,DUSP2,TRAC,CD7
-15.404983,13.182562,Reticulocyte,MALAT1,HBA2,HBB,HBA1,HBD,CA1,TPT1,AHSP
-17.408712,-10.357683,CD14+ Mono,LYZ,S100A9,NEAT1,S100A8,SAT1,CCL4,FCN1,AC020916.1
8.059611,-12.743036,CD8+ T naive,CD8B,JUN,CD8,LINC02446,CD7,CD8A,CD69,GZMM
15.562136,11.321886,Naive CD20+ B IGKC-,IGLC2,IGHM,CD74,HLA-DRA,CD79A,CD79B,HLA-DRB1,IGHD
-18.535147,-8.853779,CD14+ Mono,S100A9,S100A8,LYZ,AC020916.1,NEAT1,FCN1,FOS,LGALS1
2.7999985,-12.519425,CD4+ T naive,JUNB,TRBC1,IL7R,JUN,HBD,GIMAP7,CD7,DDIT4
15.175077,16.830992,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD79A,CD79B,CD74,MS4A1,IGHD
-18.195822,-10.068754,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,AC020916.1,SAT1,EGR1,NAMPT
-17.094978,-9.237147,CD14+ Mono,S100A9,S100A8,NEAT1,LYZ,SAT1,FCN1,MNDA,MCL1
3.3447578,6.621684,Erythroblast,HIST1H4C,HBD,HBM,AHSP,CA1,HBB,PRDX2,HBA1
-1.1427315,-13.940719,CD4+ T naive,JUNB,FOS,CD69,TPT1,ZFP36,NEAT1,ID2,ARL4C
9.372931,-9.158408,CD8+ T naive,CD8B,CD8A,CD8,CD7,HBD,FOS,ANTKMT,DUSP2
-5.423588,-7.7270927,CD4+ T activated,IL7R,KLF6,TRBC1,FOS,CD69,SAT1,S100A11,ITGB1
-0.42338812,6.3718166,Normoblast,HBD,HBB,CA1,HBM,AHSP,HBA1,HBA2,PRDX2
3.9802895,8.353396,Erythroblast,HIST1H4C,HBD,PRDX2,HBM,CA1,AHSP,HBB,TUBB
16.098045,-1.2431017,NK,GNLY,CCL4,NKG7,GZMB,KLRD1,CTSW,KLRF1,PRF1
-5.779781,5.6203213,Normoblast,HBB,HBA1,HBA2,TPT1,SLC25A37,HBD,ARL4A,TMCC2
9.500462,1.3537499,CD8+ T CD57+ CD45RA+,GNLY,NKG7,GZMB,GZMH,FGFBP2,CTSW,KLRD1,GZMA
15.009934,-2.0662394,NK,GNLY,PRF1,NKG7,GZMB,CLIC3,CCL4,KLRD1,SYNE2
14.448637,16.653954,Naive CD20+ B IGKC+,IGKC,IGHM,SAT1,CD74,HLA-DRA,CD79A,JUN,HLA-DPB1
-17.228191,-5.7949843,CD14+ Mono,S100A9,S100A8,LYZ,AC020656.1,NEAT1,S100A12,LGALS1,VCAN
15.302864,11.598644,Naive CD20+ B IGKC-,IGLC2,IGHM,CD74,HLA-DRA,TCL1A,CD79B,IGHD,CD79A
2.3826387,5.0007496,Erythroblast,HBD,HBB,HBM,HMGB2,HIST1H4C,AHSP,CA1,HBA2
16.010717,12.358515,Naive CD20+ B IGKC-,IGLC2,IGHM,IGKC,HLA-DRA,CD74,CD79A,HLA-DRB1,MS4A1
-13.086389,11.059122,Reticulocyte,MALAT1,HBD,HBA1,HBB,HBA2,TPT1,AHSP,HBM
-10.338765,14.616858,Reticulocyte,MALAT1,HBB,HBA2,HBD,HBA1,HBM,TPT1,FOS
-19.731665,-7.940279,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,S100A12,LGALS1,FCN1,MNDA
-17.320154,-10.282093,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,AC020916.1,SAT1,ANXA1,FCN1
2.5086007,-10.114977,CD4+ T naive,IGKC,TRBC2,TNFAIP3,TRAC,JUN,CD69,FOS,ILF3-DT
-9.478318,14.916225,Reticulocyte,MALAT1,HBA2,HBB,HBM,HBA1,HBD,CA1,AHSP
-3.7199326,6.5415573,Normoblast,CA1,HBM,HBB,HBD,TPT1,HBA2,HBA1,SLC25A37
-10.137531,12.054154,Reticulocyte,MALAT1,HBD,HBB,HBA1,HBA2,TPT1,AHSP,HBM
0.39696455,-7.1749763,CD4+ T activated,JUN,TRAC,HBA2,TRBC2,CD69,SAT1,HBD,HIST1H4C
-17.280361,-10.483723,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,SAT1,AC020916.1,FCN1,EGR1
15.578387,11.599766,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,CD79A,MS4A1,HLA-DPB1,HLA-DRB1
0.24553311,-14.854554,CD4+ T naive,JUN,H1FX,JUNB,TRBC1,IL7R,DUSP2,HBA1,CITED2
15.435024,16.012547,Naive CD20+ B IGKC+,IGKC,HLA-DRA,IGHM,CD74,HLA-DRB1,IGHD,CD69,MS4A1
8.75368,-12.894373,CD8+ T naive,CD8B,CD8,JUN,KLRK1,CD69,FOS,ARL4C,MALAT1
-12.407435,13.651384,Reticulocyte,MALAT1,HBD,HBB,HBA2,HBA1,TPT1,HBM,AHSP
-11.949668,15.304186,Reticulocyte,MALAT1,HBA2,HBM,HBD,HBB,HBA1,CA1,AHSP
-8.195167,12.669433,Reticulocyte,MALAT1,HBB,HBA1,HBA2,HBD,HBM,AHSP,TPT1
-4.994156,-7.107503,CD4+ T activated,IL7R,KLRB1,S100A11,CRIP1,ITGB1,ANXA1,FOS,H1FX
1.800551,4.6588125,Erythroblast,HBM,HBB,HBD,AHSP,CA1,HBA2,HBA1,HMGB2
-0.44998586,-9.939424,CD4+ T naive,MALAT1,CD69,JUNB,HBA1,TRBC2,BCL11B,NEAT1,ARL4C
7.1361265,-10.15222,CD8+ T naive,CD8B,JUN,CD8,LINC02446,IL7R,CD7,CD69,H1FX
1.736629,4.3253145,Erythroblast,HBM,HBD,HBB,CA1,AHSP,HMGB2,HBA2,UBE2S
-16.967033,-10.416098,CD14+ Mono,LYZ,S100A8,SAT1,S100A9,VCAN,NEAT1,CST3,AC020916.1
-18.207539,-9.067403,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,S100A12,FCN1,AC020916.1,MNDA
-5.2667427,-7.2374496,CD4+ T activated,CRIP1,ANXA1,IL7R,TRBC1,FOS,S100A11,ITGB1,KLF6
-0.483217,7.522537,Normoblast,HBD,HBB,HBM,HBA1,AHSP,HBA2,CA1,PRDX2
3.307611,7.403725,Erythroblast,HIST1H4C,HBD,HBM,AHSP,HBB,CA1,PRDX2,HMGB2
16.272945,15.880514,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD79A,CD74,IGHD,HLA-DRB1,HLA-DPA1
-5.3980236,6.331684,Normoblast,HBB,HBA2,HBM,TPT1,HBA1,HBD,ARL4A,SLC25A37
-5.7945623,5.882003,Normoblast,TPT1,HBB,HBD,HBA2,HBA1,SLC25A37,TMCC2,AHSP
3.9570265,-11.336748,CD4+ T naive,JUNB,CITED2,TMSB10,ANXA1,KLF6,CD27,CD3G,TRAC
7.6573997,-12.465056,CD8+ T naive,CD8B,CD8,JUN,CD8A,TRBC2,JUNB,SAT1,HBA1
9.867637,-11.209504,CD8+ T naive,CD8B,LINC02446,CD8,FOS,CD8A,CD69,CD7,CTSW
1.6911523,-13.55584,CD4+ T naive,JUN,FOS,JUNB,TRAC,CD69,MALAT1,CD7,AL499604.1
14.858065,16.791065,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD79A,CD79B,MS4A1,CD74,HLA-DRB1
3.3981757,8.222113,Erythroblast,HBM,HIST1H4C,HBD,AHSP,PRDX2,HBB,CA1,MALAT1
14.662195,11.721533,Naive CD20+ B IGKC-,IGHM,IGLC2,CD74,HLA-DRA,HLA-DPB1,HLA-DQA1,HLA-DRB1,HLA-DPA1
-1.7070354,-13.620253,CD4+ T activated,JUNB,TRBC1,JUN,FOS,IL7R,CD69,FOSB,NEAT1
-16.476393,-10.057934,CD14+ Mono,S100A9,S100A8,NEAT1,LYZ,AC020916.1,SAT1,NAMPT,LGALS1
16.097137,16.314632,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD79A,TCL1A,IGHD,HLA-DRB1
-0.77546674,-15.73696,CD4+ T naive,JUN,H1FX,FOS,JUNB,DUSP2,FOSB,SAT1,IL7R
-20.236572,-6.2954807,CD14+ Mono,S100A9,S100A8,LYZ,LGALS1,FCN1,CTSS,ANXA1,EGR1
-20.508104,-5.7134786,CD14+ Mono,S100A8,S100A9,LYZ,AC020916.1,MNDA,RETN,S100A12,NEAT1
-1.9561127,-15.63507,CD4+ T naive,CD69,EGR1,FOS,DUSP2,MALAT1,JUN,JUNB,IL7R
-0.95901006,-14.103052,CD4+ T naive,H1FX,TRBC1,IL7R,JUNB,JUN,TNFAIP3,CD7,FOS
-20.739765,-6.14631,CD14+ Mono,S100A8,S100A9,LYZ,NEAT1,S100A12,AC020916.1,MNDA,RETN
-0.38860166,-13.260881,CD4+ T naive,JUNB,IL7R,TRBC1,TRAC,AL499604.1,TPT1,H1FX,SAT1
-8.89819,12.534809,Reticulocyte,MALAT1,HBD,HBB,HBA2,HBA1,HBM,CA1,TPT1
-1.4135765,-12.847931,CD4+ T activated,JUNB,CD69,PCED1B-AS1,SAT1,TNFAIP3,FOS,GIMAP7,CRIP1
15.147485,12.33378,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,MS4A1,CD79A,IGHD,HLA-DPB1
-1.4853132,-14.929817,CD4+ T naive,TRBC1,FOS,AL499604.1,IL7R,TRAC,TNFAIP3,JUNB,CD69
-3.3002727,-8.47942,CD4+ T activated,IL7R,SAT1,HIST1H1D,ITGB1,ANXA1,JUNB,HBA2,FYB1
-3.9373653,-15.56683,CD4+ T naive,FOS,JUN,AL499604.1,JUNB,ARL4C,EGR1,TRBC1,PRKCQ-AS1
15.983229,15.961706,Naive CD20+ B IGKC+,IGKC,IGHM,CD74,HLA-DRA,CD79A,JUN,CD79B,HLA-DRB1
-19.229324,-8.530282,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,SAT1,AC020916.1,NAMPT,VCAN
-11.600149,13.986287,Reticulocyte,MALAT1,HBM,HBA2,HBB,HBD,HBA1,TPT1,FOS
-20.368828,-7.450521,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,LGALS1,S100A12,FOS,FCN1
-10.223234,12.759729,Reticulocyte,MALAT1,HBM,HBB,HBA2,HBD,HBA1,TPT1,AHSP
-16.982384,-5.3791223,CD14+ Mono,S100A9,S100A8,LYZ,S100A12,AC020656.1,MNDA,LGALS1,VCAN
-4.263506,-9.091864,CD4+ T activated,MALAT1,ITGB1,KLRB1,TRBC1,MAF,IL7R,CRIP1,GPR183
15.776099,12.297567,Naive CD20+ B IGKC-,IGHM,HLA-DRA,IGLC1,CD74,IGLC2,CD79A,TCL1A,IGHD
-1.7701256,-15.586107,CD4+ T naive,JUN,FOS,JUNB,TRBC1,DUSP2,IL7R,MALAT1,H1FX
-15.6956835,-6.4110394,CD14+ Mono,S100A9,S100A8,LYZ,SAT1,CST3,FCN1,VCAN,AC020656.1
-14.470125,-7.526677,CD14+ Mono,LYZ,S100A9,S100A8,NEAT1,CST3,FCN1,MNDA,PSAP
3.507554,7.353583,Erythroblast,HBM,HIST1H4C,HBD,AHSP,HBB,PRDX2,HMGB2,HBA2
4.2915564,7.760172,Erythroblast,HIST1H4C,HBM,PRDX2,HBD,AHSP,CA1,HBB,TUBA1B
-17.332064,-9.668175,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,AC020916.1,SAT1,FCN1,ZFP36
9.672863,-12.156267,CD8+ T naive,CD8B,CD8,CD8A,KLRK1,FOSB,HBD,CD7,GZMM
-17.790247,-9.109421,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,SAT1,MNDA,LGALS1,HIST1H4C
14.208655,16.173714,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD79A,IGHD,CD79B,HLA-DRB1
-0.877036,-11.415107,CD4+ T activated,H1FX,MALAT1,TRAC,JUNB,BCL11B,TNFAIP3,CD69,TRBC2
-5.241105,6.2231984,Normoblast,HBB,TPT1,HBA2,HBA1,HBD,SLC25A37,HBM,AHSP
-19.13813,-6.8192835,CD14+ Mono,S100A9,S100A8,LYZ,S100A12,LGALS1,FCN1,NEAT1,MNDA
-4.1116333,-8.534801,CD8+ T naive,CD69,IL7R,FOS,MALAT1,CRIP1,CD8,S100A11,ANXA1
-1.8185928,-14.614263,CD4+ T naive,JUN,FOSB,MALAT1,TNFAIP3,AL499604.1,CD69,ANXA1,BCL11B
-19.115393,-8.141027,CD14+ Mono,S100A9,S100A8,LYZ,AC020916.1,FOS,MNDA,S100A12,FCN1
-1.1583729,-12.351427,CD4+ T naive,KLF6,JUNB,JUN,CD69,AL499604.1,SAT1,TMSB10,CD27
16.666842,16.428873,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD79A,HLA-DQA1,HLA-DRB1,MS4A1
-3.5753236,-12.317871,CD4+ T naive,FOS,FOSB,CD69,CRIP1,IL7R,AL499604.1,MALAT1,TPT1
15.03662,11.421331,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,TCL1A,IGLC1,CD79A,MS4A1
-20.551592,-5.4298735,CD14+ Mono,S100A9,S100A8,LYZ,LGALS1,S100A12,MNDA,AC020656.1,RETN
8.470784,-11.75399,CD8+ T naive,CD8B,CD8,JUN,CD8A,ID2,CD7,LINC02446,FOSB
-1.6762416,-15.189123,CD4+ T naive,H1FX,IL7R,TRBC1,FOS,JUN,KLF6,PRKCQ-AS1,FOSB
-18.121357,-6.463878,CD14+ Mono,S100A9,S100A8,LYZ,LGALS1,SAT1,NEAT1,S100A12,AC020656.1
-17.350998,-8.893692,CD14+ Mono,S100A9,S100A8,LYZ,AC020656.1,NEAT1,MNDA,AC020916.1,FCN1
15.049219,16.088867,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,IGHD,CD79A,MS4A1,HLA-DRB1
12.703798,16.308651,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD79A,CD74,TCL1A,MS4A1,CD79B
-4.446163,-13.221064,CD4+ T naive,FOS,DUSP2,IL7R,PCED1B-AS1,PRKCQ-AS1,CD69,FOSB,JUNB
2.2896848,7.637988,Erythroblast,HBM,MALAT1,HBD,HIST1H4C,HBB,AHSP,CA1,HBA1
-5.69011,11.810849,Reticulocyte,MALAT1,HBB,HBA2,HBA1,HBD,HBM,CA1,TPT1
14.205803,-2.1369224,NK,GNLY,NKG7,TPT1,SYNE1,IRF1,PRF1,GZMB,JUN
4.1969395,-12.797991,CD8+ T naive,CD8B,CD8,IL7R,CD8A,FOS,KLRK1,SAT1,JUN
15.589941,11.333031,Naive CD20+ B IGKC-,IGHM,CD74,HLA-DRA,IGLC2,HLA-DRB1,IGHD,HLA-DPB1,TCL1A
-8.993532,14.844414,Reticulocyte,MALAT1,HBB,HBA2,HBM,HBD,HBA1,AHSP,TPT1
-11.832201,13.537228,Reticulocyte,MALAT1,HBM,HBB,HBA2,HBD,HBA1,TPT1,AHSP
13.531567,12.427609,Naive CD20+ B IGKC-,IGLC2,IGHM,IGLC1,CD79B,HLA-DRA,TCL1A,CD74,CD79A
-0.12453632,-14.74906,CD4+ T activated,FOS,JUNB,SAT1,CD69,DUSP2,CD7,JUN,TPT1
15.702213,17.559595,Naive CD20+ B IGKC+,IGKC,IGHM,CD74,HLA-DRA,CD79A,CD79B,IGHD,MS4A1
3.9399369,9.068426,Erythroblast,HIST1H4C,HBD,HBM,CA1,PRDX2,AHSP,HBB,TUBB
-12.515244,13.614317,Reticulocyte,MALAT1,HBD,HBB,HBA2,HBA1,HBM,TPT1,AHSP
-18.77906,-9.697242,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,AC020916.1,EGR1,FCN1,SAT1
-19.451294,-6.6224008,CD14+ Mono,LYZ,S100A9,S100A8,LGALS1,AC020656.1,NEAT1,RETN,MNDA
14.542698,11.903074,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,CD79A,CD79B,HLA-DRB1,HLA-DPA1
-4.687579,-10.198797,CD4+ T activated,FOS,IL7R,MALAT1,JUN,AL499604.1,ANXA1,NEAT1,TPT1
-18.372875,-6.6287546,CD14+ Mono,S100A8,S100A9,LYZ,NEAT1,FCN1,S100A12,HIST1H4C,NAMPT
-18.018852,-8.633456,CD14+ Mono,S100A9,S100A8,LYZ,SAT1,NEAT1,MNDA,CTSS,HIST1H4C
-1.2637756,7.034801,Normoblast,HBD,HBB,CA1,HBM,HBA1,PRDX2,SLC25A37,AHSP
-17.255562,-10.232248,CD14+ Mono,S100A9,LYZ,S100A8,SAT1,NEAT1,AC020916.1,MCL1,VCAN
-18.574085,-4.8276296,CD14+ Mono,S100A8,S100A9,LYZ,FCN1,S100A12,LGALS1,MNDA,AC020656.1
-19.496296,-8.497005,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,S100A12,MNDA,AC020916.1,FOS
-2.631872,-14.474314,CD4+ T naive,FOS,AL499604.1,JUNB,HBA2,DUSP2,GPR183,ID2,JUN
14.997419,16.70924,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD79A,CD74,HLA-DRB1,MS4A1,HLA-DPB1
2.1966949,-6.2547817,CD4+ T naive,FOS,HBD,AL499604.1,MALAT1,HBB,TPT1,BCL11B,HBA2
-1.6852655,-15.476704,CD4+ T naive,TRBC1,FOS,CD69,IL7R,JUN,MALAT1,TPT1,JUNB
9.396883,-9.762422,CD8+ T naive,CD8B,CD8,LINC02446,CD69,MALAT1,PCED1B-AS1,HBA1,CD7
0.24625331,-9.297594,CD4+ T naive,FOS,IL7R,HIST1H1D,TRBC1,PCED1B-AS1,PRKCQ-AS1,MALAT1,TPT1
-3.2303681,-11.96011,CD4+ T naive,IL7R,JUN,MALAT1,ANXA1,AL499604.1,FOS,TRBC1,BCL11B
15.349013,-1.5305052,NK,GNLY,NKG7,GZMB,PRF1,CD69,KLRD1,SYNE1,CST7
-2.8787854,-7.4370565,CD4+ T activated,IL7R,NEAT1,CRIP1,ANXA1,SAT1,ITGB1,CD69,TRBC2
3.7763968,8.751007,Erythroblast,HIST1H4C,HBM,PRDX2,HBD,AHSP,CA1,HMGB2,HBB
-16.523067,-9.5541725,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,MNDA,FCN1,AC020916.1,VCAN
-5.906793,8.558624,Normoblast,HBB,HBA2,HBA1,TPT1,HBD,HBM,MALAT1,SLC25A37
-19.003948,-4.5345173,CD14+ Mono,S100A8,S100A9,LYZ,LGALS1,AC020656.1,FCN1,AC020916.1,NEAT1
15.206924,16.605413,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD79A,CD74,MS4A1,TCL1A,HLA-DRB1
-17.880783,-9.772029,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,MNDA,FCN1,AC020916.1,VCAN
16.484726,15.923545,Naive CD20+ B IGKC+,IGKC,HLA-DRA,CD74,IGHM,CD79A,IGHD,MS4A1,TCL1A
-8.1309185,13.343979,Reticulocyte,MALAT1,HBD,HBB,HBA2,HBA1,CA1,HBM,AHSP
-17.60431,-10.5628395,CD14+ Mono,S100A8,S100A9,NEAT1,LYZ,SAT1,AC020916.1,MNDA,ANXA1
-20.597313,-5.7297726,CD14+ Mono,S100A8,S100A9,LYZ,S100A12,LGALS1,AC020656.1,AC020916.1,NEAT1
0.49389026,-14.683678,CD4+ T naive,TRBC1,JUNB,JUN,FOS,TPT1,AL499604.1,HIST1H4C,DUSP2
-5.4182673,-7.273505,CD4+ T activated,IL7R,ANXA1,CRIP1,CD69,GPR183,FOS,S100A11,TRBC1
-16.985268,-10.122599,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,FCN1,SAT1,ZFP36,MNDA
-18.18159,-4.8071294,CD14+ Mono,S100A8,S100A9,LYZ,LGALS1,S100A12,FCN1,MNDA,HIST1H4C
-5.39165,-5.6508493,CD4+ T activated,ANXA1,S100A11,FOS,CRIP1,MALAT1,DUSP2,FOSB,IL7R
-8.8454685,13.00012,Reticulocyte,MALAT1,HBM,HBB,HBD,HBA2,HBA1,TPT1,AHSP
14.013445,17.794289,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD79A,HLA-DRB1,CD79B,HLA-DPB1
-9.222061,13.206331,Reticulocyte,MALAT1,HBM,HBB,HBD,HBA2,HBA1,TPT1,AHSP
-1.6063412,-12.161715,CD4+ T naive,TRBC1,IRF1,JUN,SAT1,IL7R,DDIT4,H1FX,DUSP2
-19.435808,-7.3456154,CD14+ Mono,S100A8,S100A9,LYZ,AC020916.1,FCN1,LGALS1,NEAT1,S100A12
7.7765646,-12.575386,CD8+ T naive,CD8,IL7R,ID2,FOS,CD8A,CD69,DUSP2,LINC02446
-3.156881,-6.5391426,CD4+ T activated,S100A11,CCL5,ANXA1,KLF6,IL7R,CD2,TRAC,FYB1
14.765905,16.053919,Naive CD20+ B IGKC+,IGKC,IGHM,CD79A,HLA-DRA,CD79B,CD74,IGHD,HLA-DPB1
16.061747,12.22901,Naive CD20+ B IGKC-,IGHM,HLA-DRA,CD74,IGLC1,TCL1A,HLA-DQA1,HLA-DPA1,HLA-DRB1
-20.449694,-5.106235,CD14+ Mono,S100A9,S100A8,LYZ,LGALS1,AC020656.1,AC020916.1,RETN,EGR1
16.052738,16.687256,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD79A,CD74,MS4A1,TCL1A,IGHD
-9.858194,13.095258,Reticulocyte,MALAT1,HBM,HBB,HBA2,HBD,HBA1,CA1,TPT1
-19.983133,-8.866928,CD14+ Mono,S100A8,S100A9,LYZ,NEAT1,AC020916.1,S100A12,MNDA,LGALS1
-10.032175,12.172956,Reticulocyte,MALAT1,HBD,TPT1,HBB,HBA1,AHSP,HBA2,CA1
-11.0884,11.594029,Reticulocyte,MALAT1,HBD,HBA1,HBB,HBA2,TPT1,AHSP,CA1
-7.9775186,13.0057125,Reticulocyte,MALAT1,HBB,HBA2,HBA1,HBM,HBD,TPT1,AHSP
10.5704155,16.091694,Naive CD20+ B IGKC+,IGKC,IGHM,TCL1A,CD79B,CD79A,HLA-DRA,MS4A1,CD74
9.261276,-11.187912,CD8+ T naive,CD8,JUNB,FOS,CD8A,JUN,MALAT1,KLRK1,HBD
14.444235,-2.946909,NK,GNLY,NKG7,SAT1,GZMB,KLRD1,IL2RB,CCL4,PRF1
0.34981152,-14.678707,CD8+ T naive,CD69,MALAT1,JUN,FOSB,AL499604.1,JUNB,H1FX,DUSP2
1.2208732,-15.392962,CD4+ T activated,FOS,JUNB,TRBC1,JUN,AL499604.1,H1FX,MALAT1,FOSB
16.123909,16.461008,Naive CD20+ B IGKC+,IGKC,IGHM,CD79A,IGHD,HLA-DRA,CD79B,CD74,TCL1A
15.709627,17.258945,Naive CD20+ B IGKC+,IGKC,IGHM,SAT1,HLA-DRA,CD74,IGHD,HLA-DPB1,HLA-DRB1
