gene,mean_contribution,sem_contribution,cell_type
LRRC47,0.0,0.0,Reticulocyte
CEP104,0.0,0.0,Reticulocyte
DFFB,0.0,0.0,Reticulocyte
C1orf174,0.0,0.0,Reticulocyte
NPHP4,0.0,0.0,Reticulocyte
KCNAB2,0.0,0.0,Reticulocyte
ICMT,0.0,0.0,Reticulocyte
ACOT7,0.0,0.0,Reticulocyte
AL031848.2,0.0,0.0,Reticulocyte
ESPN,0.0,0.0,Reticulocyte
TNFRSF25,0.00011885,0.0,Reticulocyte
NOL9,0.0,0.0,Reticulocyte
ZBTB48,0.0,0.0,Reticulocyte
KLHL21,0.0,0.0,Reticulocyte
PHF13,0.0,0.0,Reticulocyte
THAP3,0.0,0.0,Reticulocyte
DNAJC11,0.0,0.0,Reticulocyte
CAMTA1,0.0,0.0,Reticulocyte
VAMP3,0.0,0.0,Reticulocyte
PER3,0.0,0.0,Reticulocyte
TNFRSF9,0.0,0.0,Reticulocyte
PARK7,0.0,0.0,Reticulocyte
RERE,0.0,0.0,Reticulocyte
ENO1,0.0,0.0,Reticulocyte
ENO1-AS1,0.0,0.0,Reticulocyte
SLC2A5,0.0,0.0,Reticulocyte
GPR157,0.0,0.0,Reticulocyte
H6PD,0.0,0.0,Reticulocyte
SPSB1,0.0,0.0,Reticulocyte
SLC25A33,0.0,0.0,Reticulocyte
TMEM201,0.0,0.0,Reticulocyte
PIK3CD,0.0,0.0,Reticulocyte
PIK3CD-AS1,0.0,0.0,Reticulocyte
PIK3CD-AS2,0.0,0.0,Reticulocyte
CLSTN1,0.0,0.0,Reticulocyte
CTNNBIP1,0.0,0.0,Reticulocyte
LZIC,0.0,0.0,Reticulocyte
NMNAT1,0.0,0.0,Reticulocyte
RBP7,6.38e-05,0.0,Reticulocyte
UBE4B,0.0,0.0,Reticulocyte
KIF1B,0.0,0.0,Reticulocyte
PGD,6.17e-05,0.0,Reticulocyte
CENPS,0.0,0.0,Reticulocyte
DFFA,0.0,0.0,Reticulocyte
PEX14,0.0,0.0,Reticulocyte
CASZ1,0.0,0.0,Reticulocyte
TARDBP,0.0,0.0,Reticulocyte
AL109811.2,0.0,0.0,Reticulocyte
SRM,0.0,0.0,Reticulocyte
EXOSC10,0.0,0.0,Reticulocyte
MTOR,0.0,0.0,Reticulocyte
UBIAD1,0.0,0.0,Reticulocyte
FBXO2,3.16e-06,0.0,Reticulocyte
FBXO44,0.0,0.0,Reticulocyte
FBXO6,0.0,0.0,Reticulocyte
MAD2L2,0.0,0.0,Reticulocyte
DRAXIN,0.0,0.0,Reticulocyte
AGTRAP,0.0001554,0.0,Reticulocyte
MTHFR,0.0,0.0,Reticulocyte
CLCN6,0.0,0.0,Reticulocyte
AL021155.5,0.0001683,0.0,Reticulocyte
KIAA2013,0.0,0.0,Reticulocyte
PLOD1,0.0,0.0,Reticulocyte
MFN2,0.0,0.0,Reticulocyte
MIIP,0.0,0.0,Reticulocyte
TNFRSF8,0.0,0.0,Reticulocyte
TNFRSF1B,0.0002823,0.0,Reticulocyte
VPS13D,0.0,0.0,Reticulocyte
DHRS3,0.0,0.0,Reticulocyte
PRDM2,0.0,0.0,Reticulocyte
EFHD2,0.0005436,6.104e-05,Reticulocyte
CASP9,0.0,0.0,Reticulocyte
DNAJC16,0.0,0.0,Reticulocyte
AGMAT,0.0,0.0,Reticulocyte
DDI2,0.0,0.0,Reticulocyte
PLEKHM2,0.0,0.0,Reticulocyte
SLC25A34,0.0,0.0,Reticulocyte
FBLIM1,0.0,0.0,Reticulocyte
UQCRHL,0.0,0.0,Reticulocyte
AL450998.2,0.0,0.0,Reticulocyte
SPEN,0.0001433,0.0,Reticulocyte
ZBTB17,0.0,0.0,Reticulocyte
ARHGEF19,0.0,0.0,Reticulocyte
AL109627.1,0.0,0.0,Reticulocyte
CPLANE2,0.0,0.0,Reticulocyte
FBXO42,0.0,0.0,Reticulocyte
SZRD1,0.0,0.0,Reticulocyte
NECAP2,0.0,0.0,Reticulocyte
LINC01772,0.0,0.0,Reticulocyte
AL137802.2,0.0,0.0,Reticulocyte
NBPF1,0.0,0.0,Reticulocyte
CROCC,0.0,0.0,Reticulocyte
BX284668.5,0.0,0.0,Reticulocyte
BX284668.6,2.4e-07,0.0,Reticulocyte
ATP13A2,0.0,0.0,Reticulocyte
SDHB,0.0,0.0,Reticulocyte
PADI2,0.0,0.0,Reticulocyte
PADI4,5.73e-05,0.0,Reticulocyte
RCC2,0.0,0.0,Reticulocyte
ARHGEF10L,0.0,0.0,Reticulocyte
ALDH4A1,0.0,0.0,Reticulocyte
IFFO2,0.0,0.0,Reticulocyte
UBR4,0.0,0.0,Reticulocyte
EMC1-AS1,0.0,0.0,Reticulocyte
EMC1,0.0,0.0,Reticulocyte
MRTO4,0.0,0.0,Reticulocyte
AKR7A2,0.0,0.0,Reticulocyte
SLC66A1,0.0,0.0,Reticulocyte
CAPZB,0.0,0.0,Reticulocyte
MICOS10,0.0,0.0,Reticulocyte
NBL1,0.0,0.0,Reticulocyte
TMCO4,0.0,0.0,Reticulocyte
OTUD3,0.0,0.0,Reticulocyte
UBXN10-AS1,0.0,0.0,Reticulocyte
UBXN10,0.0,0.0,Reticulocyte
CAMK2N1,2.15e-06,0.0,Reticulocyte
MUL1,0.0,0.0,Reticulocyte
CDA,3.016e-05,0.0,Reticulocyte
PINK1,0.0,0.0,Reticulocyte
PINK1-AS,0.0,0.0,Reticulocyte
DDOST,0.0,0.0,Reticulocyte
HP1BP3,0.0,0.0,Reticulocyte
EIF4G3,0.0,0.0,Reticulocyte
ECE1,0.0,0.0,Reticulocyte
NBPF3,0.0,0.0,Reticulocyte
USP48,0.0,0.0,Reticulocyte
HSPG2,0.0,0.0,Reticulocyte
LINC01635,0.0,0.0,Reticulocyte
LINC00339,0.0,0.0,Reticulocyte
CDC42,0.0,0.0,Reticulocyte
CDC42-IT1,0.0,0.0,Reticulocyte
ZBTB40,0.0,0.0,Reticulocyte
KDM1A,0.0,0.0,Reticulocyte
LUZP1,0.0,0.0,Reticulocyte
LINC01355,0.0,0.0,Reticulocyte
HNRNPR,0.0,0.0,Reticulocyte
ZNF436,0.0,0.0,Reticulocyte
ZNF436-AS1,0.0,0.0,Reticulocyte
TCEA3,2.414e-05,0.0,Reticulocyte
E2F2,0.0,0.0,Reticulocyte
ID3,0.0001712,0.0,Reticulocyte
MDS2,1.06e-05,0.0,Reticulocyte
ELOA-AS1,0.0,0.0,Reticulocyte
ELOA,0.0,0.0,Reticulocyte
PITHD1,0.0,0.0,Reticulocyte
LYPLA2,0.0,0.0,Reticulocyte
GALE,0.0,0.0,Reticulocyte
HMGCL,0.0,0.0,Reticulocyte
FUCA1,0.0,0.0,Reticulocyte
CNR2,5.9e-06,0.0,Reticulocyte
PNRC2,0.0,0.0,Reticulocyte
SRSF10,0.0,0.0,Reticulocyte
IFNLR1,0.0,0.0,Reticulocyte
STPG1,0.0,0.0,Reticulocyte
NIPAL3,0.0,0.0,Reticulocyte
RCAN3AS,0.0,0.0,Reticulocyte
RCAN3,0.000883,6.104e-05,Reticulocyte
NCMAP-DT,2.85e-05,0.0,Reticulocyte
SRRM1,0.0,0.0,Reticulocyte
CLIC4,0.0,0.0,Reticulocyte
RUNX3,0.0004065,6.104e-05,Reticulocyte
SYF2,0.0,0.0,Reticulocyte
AL031432.4,0.0,0.0,Reticulocyte
RSRP1,0.0,0.0,Reticulocyte
RHD,0.0,0.0,Reticulocyte
TMEM50A,0.0,0.0,Reticulocyte
RHCE,0.001036,0.0,Reticulocyte
MACO1,0.0,0.0,Reticulocyte
LDLRAP1,0.000231,0.0,Reticulocyte
MAN1C1,0.0,0.0,Reticulocyte
AL031280.1,0.0,0.0,Reticulocyte
SELENON,0.0,0.0,Reticulocyte
AL020996.1,0.0,0.0,Reticulocyte
MTFR1L,0.0,0.0,Reticulocyte
AUNIP,0.0,0.0,Reticulocyte
PAQR7,0.0,0.0,Reticulocyte
STMN1,0.000931,8.63e-05,Reticulocyte
PAFAH2,0.0,0.0,Reticulocyte
PDIK1L,0.0,0.0,Reticulocyte
ZNF593,0.0,0.0,Reticulocyte
CEP85,0.0,0.0,Reticulocyte
SH3BGRL3,0.0,0.0,Reticulocyte
UBXN11,1.73e-05,0.0,Reticulocyte
CD52,0.0,0.0,Reticulocyte
DHDDS,0.0,0.0,Reticulocyte
HMGN2,0.0,0.0,Reticulocyte
ARID1A,0.0,0.0,Reticulocyte
PIGV,0.0,0.0,Reticulocyte
ZDHHC18,0.0,0.0,Reticulocyte
GPN2,0.0,0.0,Reticulocyte
GPATCH3,0.0,0.0,Reticulocyte
NUDC,0.0,0.0,Reticulocyte
SLC9A1,0.0,0.0,Reticulocyte
WDTC1,0.0,0.0,Reticulocyte
TMEM222,0.0,0.0,Reticulocyte
SYTL1,0.000147,0.0,Reticulocyte
MAP3K6,0.0,0.0,Reticulocyte
WASF2,0.0,0.0,Reticulocyte
AHDC1,0.0,0.0,Reticulocyte
FGR,0.0001467,0.0,Reticulocyte
IFI6,6.336e-05,0.0,Reticulocyte
AL020997.5,0.0,0.0,Reticulocyte
FAM76A,0.0,0.0,Reticulocyte
STX12,0.0,0.0,Reticulocyte
PPP1R8,0.0,0.0,Reticulocyte
THEMIS2,0.0,0.0,Reticulocyte
RPA2,0.0,0.0,Reticulocyte
XKR8,0.0,0.0,Reticulocyte
EYA3,0.0,0.0,Reticulocyte
PTAFR,2.2e-05,0.0,Reticulocyte
DNAJC8,0.0,0.0,Reticulocyte
ATP5IF1,0.0,0.0,Reticulocyte
AL353622.1,0.0,0.0,Reticulocyte
SESN2,0.0,0.0,Reticulocyte
MED18,0.0,0.0,Reticulocyte
PHACTR4,0.0,0.0,Reticulocyte
RCC1,0.0,0.0,Reticulocyte
SNHG3,0.0002197,0.0,Reticulocyte
TRNAU1AP,0.0,0.0,Reticulocyte
SNHG12,0.0001867,0.0,Reticulocyte
TAF12,0.0,0.0,Reticulocyte
AL360012.1,8.285e-05,0.0,Reticulocyte
GMEB1,0.0,0.0,Reticulocyte
YTHDF2,0.0,0.0,Reticulocyte
EPB41,0.0,0.0,Reticulocyte
SRSF4,0.0,0.0,Reticulocyte
MECR,0.0,0.0,Reticulocyte
MATN1-AS1,0.0,0.0,Reticulocyte
LAPTM5,0.0,0.0,Reticulocyte
PUM1,0.0,0.0,Reticulocyte
SNRNP40,0.0,0.0,Reticulocyte
ZCCHC17,0.0,0.0,Reticulocyte
SERINC2,0.0,0.0,Reticulocyte
LINC01226,0.0,0.0,Reticulocyte
PEF1,0.0,0.0,Reticulocyte
PTP4A2,0.0,0.0,Reticulocyte
KHDRBS1,0.0,0.0,Reticulocyte
AL445248.1,0.0,0.0,Reticulocyte
TMEM39B,0.0,0.0,Reticulocyte
KPNA6,0.0,0.0,Reticulocyte
TXLNA,0.0,0.0,Reticulocyte
CCDC28B,0.0,0.0,Reticulocyte
IQCC,0.0,0.0,Reticulocyte
TMEM234,0.0,0.0,Reticulocyte
EIF3I,0.0,0.0,Reticulocyte
LCK,0.000993,0.00010574,Reticulocyte
HDAC1,0.0,0.0,Reticulocyte
MARCKSL1,0.0008645,0.00010574,Reticulocyte
FAM229A,0.0,0.0,Reticulocyte
BSDC1,0.0,0.0,Reticulocyte
ZBTB8A,0.0,0.0,Reticulocyte
ZBTB8OS,0.0,0.0,Reticulocyte
RBBP4,0.0,0.0,Reticulocyte
SYNC,0.0,0.0,Reticulocyte
KIAA1522,0.0,0.0,Reticulocyte
YARS,0.0,0.0,Reticulocyte
S100PBP,0.0,0.0,Reticulocyte
RNF19B,0.0,0.0,Reticulocyte
AK2,0.0,0.0,Reticulocyte
AZIN2,0.0,0.0,Reticulocyte
TRIM62,0.0,0.0,Reticulocyte
ZNF362,0.0,0.0,Reticulocyte
PHC2,0.0,0.0,Reticulocyte
SMIM12,0.0,0.0,Reticulocyte
DLGAP3,0.0,0.0,Reticulocyte
TMEM35B,0.0,0.0,Reticulocyte
ZMYM6,0.0,0.0,Reticulocyte
ZMYM1,0.0,0.0,Reticulocyte
SFPQ,0.0,0.0,Reticulocyte
ZMYM4,0.0,0.0,Reticulocyte
KIAA0319L,0.0,0.0,Reticulocyte
NCDN,0.0,0.0,Reticulocyte
AC004865.2,0.0,0.0,Reticulocyte
PSMB2,0.0,0.0,Reticulocyte
C1orf216,0.0,0.0,Reticulocyte
CLSPN,2.59e-05,0.0,Reticulocyte
AGO4,0.0,0.0,Reticulocyte
AGO1,0.0,0.0,Reticulocyte
AL139286.3,0.0,0.0,Reticulocyte
AGO3,0.0,0.0,Reticulocyte
ADPRHL2,0.0,0.0,Reticulocyte
COL8A2,0.0,0.0,Reticulocyte
TRAPPC3,0.0,0.0,Reticulocyte
MAP7D1,0.0,0.0,Reticulocyte
THRAP3,0.0,0.0,Reticulocyte
SH3D21,0.0,0.0,Reticulocyte
EVA1B,0.0,0.0,Reticulocyte
STK40,0.0,0.0,Reticulocyte
LSM10,0.0,0.0,Reticulocyte
MRPS15,0.0,0.0,Reticulocyte
CSF3R,0.0002326,0.0,Reticulocyte
LINC01137,0.0,0.0,Reticulocyte
ZC3H12A,0.0,0.0,Reticulocyte
MEAF6,0.0,0.0,Reticulocyte
SNIP1,0.0,0.0,Reticulocyte
GNL2,0.0,0.0,Reticulocyte
C1orf109,0.0,0.0,Reticulocyte
CDCA8,0.0,0.0,Reticulocyte
YRDC,0.0,0.0,Reticulocyte
C1orf122,0.0,0.0,Reticulocyte
MTF1,0.0,0.0,Reticulocyte
INPP5B,0.0,0.0,Reticulocyte
SF3A3,0.0,0.0,Reticulocyte
FHL3,0.0,0.0,Reticulocyte
UTP11,0.0,0.0,Reticulocyte
RRAGC,0.0,0.0,Reticulocyte
AL139260.1,0.0,0.0,Reticulocyte
MYCBP,0.0,0.0,Reticulocyte
AKIRIN1,0.0,0.0,Reticulocyte
NDUFS5,0.0,0.0,Reticulocyte
MACF1,0.000916,8.63e-05,Reticulocyte
PABPC4,0.0,0.0,Reticulocyte
HPCAL4,0.0,0.0,Reticulocyte
PPIE,0.0,0.0,Reticulocyte
BMP8B,0.0,0.0,Reticulocyte
AL033527.4,0.0,0.0,Reticulocyte
TRIT1,0.0,0.0,Reticulocyte
MYCL,0.0,0.0,Reticulocyte
MFSD2A,0.0,0.0,Reticulocyte
CAP1,0.0,0.0,Reticulocyte
PPT1,0.0,0.0,Reticulocyte
RLF,0.0,0.0,Reticulocyte
AL050341.2,0.0,0.0,Reticulocyte
ZMPSTE24,0.0,0.0,Reticulocyte
COL9A2,0.0,0.0,Reticulocyte
SMAP2,0.0,0.0,Reticulocyte
ZFP69B,0.0,0.0,Reticulocyte
ZFP69,0.0,0.0,Reticulocyte
EXO5,0.0,0.0,Reticulocyte
ZNF684,0.0,0.0,Reticulocyte
RIMS3,2.4e-06,0.0,Reticulocyte
NFYC-AS1,0.0,0.0,Reticulocyte
NFYC,0.0,0.0,Reticulocyte
CITED4,0.0001084,0.0,Reticulocyte
CTPS1,0.0,0.0,Reticulocyte
SLFNL1-AS1,0.0,0.0,Reticulocyte
SCMH1,0.0,0.0,Reticulocyte
HIVEP3,0.0,0.0,Reticulocyte
FOXJ3,0.0,0.0,Reticulocyte
PPCS,0.0,0.0,Reticulocyte
CCDC30,0.0,0.0,Reticulocyte
PPIH,0.0,0.0,Reticulocyte
YBX1,0.0,0.0,Reticulocyte
P3H1,0.0,0.0,Reticulocyte
C1orf50,0.0,0.0,Reticulocyte
SVBP,0.0,0.0,Reticulocyte
ERMAP,0.0001305,0.0,Reticulocyte
AL512353.1,0.0,0.0,Reticulocyte
ZNF691,0.0,0.0,Reticulocyte
SLC2A1,0.001504,8.63e-05,Reticulocyte
SLC2A1-AS1,0.0,0.0,Reticulocyte
EBNA1BP2,0.0,0.0,Reticulocyte
TIE1,0.0,0.0,Reticulocyte
AL139289.2,0.0,0.0,Reticulocyte
CDC20,2.426e-05,0.0,Reticulocyte
ELOVL1,0.0,0.0,Reticulocyte
MED8,0.0,0.0,Reticulocyte
SZT2,0.0,0.0,Reticulocyte
HYI,0.0,0.0,Reticulocyte
KDM4A,0.0,0.0,Reticulocyte
KDM4A-AS1,0.0,0.0,Reticulocyte
ST3GAL3,0.0,0.0,Reticulocyte
AL357079.1,0.0,0.0,Reticulocyte
IPO13,0.0,0.0,Reticulocyte
DPH2,0.0,0.0,Reticulocyte
ATP6V0B,0.0,0.0,Reticulocyte
B4GALT2,0.0,0.0,Reticulocyte
CCDC24,0.0,0.0,Reticulocyte
SLC6A9,0.0,0.0,Reticulocyte
AL139220.2,0.0,0.0,Reticulocyte
DMAP1,0.0,0.0,Reticulocyte
ERI3,0.0,0.0,Reticulocyte
RNF220,0.0,0.0,Reticulocyte
TMEM53,0.0,0.0,Reticulocyte
ARMH1,0.0001115,0.0,Reticulocyte
KIF2C,0.0,0.0,Reticulocyte
PLK3,7.594e-05,0.0,Reticulocyte
BTBD19,0.0,0.0,Reticulocyte
PTCH2,1.84e-05,0.0,Reticulocyte
EIF2B3,0.0,0.0,Reticulocyte
HECTD3,0.0,0.0,Reticulocyte
UROD,0.001361,0.0,Reticulocyte
HPDL,0.0,0.0,Reticulocyte
MUTYH,0.0,0.0,Reticulocyte
TOE1,0.0,0.0,Reticulocyte
TESK2,0.0,0.0,Reticulocyte
MMACHC,0.0,0.0,Reticulocyte
PRDX1,0.0,0.0,Reticulocyte
AKR1A1,0.0,0.0,Reticulocyte
NASP,0.0,0.0,Reticulocyte
CCDC17,0.0,0.0,Reticulocyte
GPBP1L1,0.0,0.0,Reticulocyte
TMEM69,0.0,0.0,Reticulocyte
IPP,0.0,0.0,Reticulocyte
MAST2,0.0,0.0,Reticulocyte
PIK3R3,0.0,0.0,Reticulocyte
POMGNT1,0.0,0.0,Reticulocyte
RAD54L,0.0,0.0,Reticulocyte
LRRC41,0.0,0.0,Reticulocyte
UQCRH,0.0,0.0,Reticulocyte
NSUN4,0.0,0.0,Reticulocyte
FAAH,0.0,0.0,Reticulocyte
MKNK1,0.0,0.0,Reticulocyte
MOB3C,0.0,0.0,Reticulocyte
ATPAF1,0.0,0.0,Reticulocyte
EFCAB14,0.0,0.0,Reticulocyte
PDZK1IP1,0.0,0.0,Reticulocyte
TAL1,0.0,0.0,Reticulocyte
STIL,0.0,0.0,Reticulocyte
CMPK1,0.0,0.0,Reticulocyte
SPATA6,0.0,0.0,Reticulocyte
BEND5,2.074e-05,0.0,Reticulocyte
FAF1,0.0,0.0,Reticulocyte
CDKN2C,0.0,0.0,Reticulocyte
RNF11,0.0,0.0,Reticulocyte
TTC39A,0.0,0.0,Reticulocyte
EPS15,0.0,0.0,Reticulocyte
OSBPL9,0.0,0.0,Reticulocyte
NRDC,0.0,0.0,Reticulocyte
AL050343.2,0.0,0.0,Reticulocyte
TXNDC12,0.0,0.0,Reticulocyte
KTI12,0.0,0.0,Reticulocyte
BTF3L4,0.0,0.0,Reticulocyte
ZFYVE9,0.0,0.0,Reticulocyte
CC2D1B,0.0,0.0,Reticulocyte
ORC1,0.0,0.0,Reticulocyte
PRPF38A,0.0,0.0,Reticulocyte
TUT4,0.0,0.0,Reticulocyte
GPX7,0.0,0.0,Reticulocyte
SHISAL2A,1.86e-05,0.0,Reticulocyte
COA7,0.0,0.0,Reticulocyte
ZYG11B,0.0,0.0,Reticulocyte
ECHDC2,0.0,0.0,Reticulocyte
SCP2,0.0,0.0,Reticulocyte
CPT2,0.0,0.0,Reticulocyte
CZIB,0.0,0.0,Reticulocyte
AL606760.3,0.0,0.0,Reticulocyte
MAGOH,0.0,0.0,Reticulocyte
LRP8,0.0,0.0,Reticulocyte
LINC02812,0.0,0.0,Reticulocyte
NDC1,0.0,0.0,Reticulocyte
YIPF1,0.0,0.0,Reticulocyte
HSPB11,0.0,0.0,Reticulocyte
LRRC42,0.0,0.0,Reticulocyte
TMEM59,0.0,0.0,Reticulocyte
TCEANC2,0.0,0.0,Reticulocyte
CYB5RL,0.0,0.0,Reticulocyte
MRPL37,0.0,0.0,Reticulocyte
SSBP3,0.0,0.0,Reticulocyte
ACOT11,0.0,0.0,Reticulocyte
TTC4,0.0,0.0,Reticulocyte
TTC22,0.0,0.0,Reticulocyte
DHCR24,0.0,0.0,Reticulocyte
USP24,0.0,0.0,Reticulocyte
OMA1,0.0,0.0,Reticulocyte
MYSM1,0.0,0.0,Reticulocyte
JUN,0.01116,0.000861,Reticulocyte
LINC01135,0.0,0.0,Reticulocyte
FGGY,0.0,0.0,Reticulocyte
HOOK1,0.0,0.0,Reticulocyte
NFIA,0.0001512,0.0,Reticulocyte
TM2D1,0.0,0.0,Reticulocyte
PATJ,0.0,0.0,Reticulocyte
L1TD1,0.0,0.0,Reticulocyte
USP1,0.0,0.0,Reticulocyte
DOCK7,0.0,0.0,Reticulocyte
ATG4C,0.0,0.0,Reticulocyte
ALG6,0.0,0.0,Reticulocyte
ITGB3BP,0.0,0.0,Reticulocyte
EFCAB7,0.0,0.0,Reticulocyte
DLEU2L,0.0,0.0,Reticulocyte
PGM1,0.0,0.0,Reticulocyte
RAVER2,0.0,0.0,Reticulocyte
JAK1,0.0,0.0,Reticulocyte
AK4,0.0,0.0,Reticulocyte
DNAJC6,0.0,0.0,Reticulocyte
LEPROT,0.0,0.0,Reticulocyte
LEPR,0.0,0.0,Reticulocyte
PDE4B,0.0003324,0.0,Reticulocyte
WDR78,0.0,0.0,Reticulocyte
MIER1,0.0,0.0,Reticulocyte
SLC35D1,0.0,0.0,Reticulocyte
IL12RB2,0.0,0.0,Reticulocyte
SERBP1,0.0,0.0,Reticulocyte
GADD45A,0.0,0.0,Reticulocyte
WLS,0.0,0.0,Reticulocyte
DEPDC1,1.43e-05,0.0,Reticulocyte
LRRC7,0.0,0.0,Reticulocyte
LRRC40,0.0,0.0,Reticulocyte
SRSF11,0.0,0.0,Reticulocyte
ANKRD13C,0.0,0.0,Reticulocyte
HHLA3,0.0,0.0,Reticulocyte
CTH,0.0,0.0,Reticulocyte
ZRANB2,0.0,0.0,Reticulocyte
NEGR1,0.0,0.0,Reticulocyte
LRRIQ3,0.0,0.0,Reticulocyte
FPGT,0.0,0.0,Reticulocyte
CRYZ,0.0,0.0,Reticulocyte
TYW3,0.0,0.0,Reticulocyte
ACADM,0.0,0.0,Reticulocyte
RABGGTB,0.0,0.0,Reticulocyte
ST6GALNAC3,0.0,0.0,Reticulocyte
PIGK,0.0,0.0,Reticulocyte
AK5,1.49e-05,0.0,Reticulocyte
AC118549.1,0.0,0.0,Reticulocyte
USP33,0.0,0.0,Reticulocyte
MIGA1,4.23e-05,0.0,Reticulocyte
NEXN,0.0,0.0,Reticulocyte
FUBP1,0.0,0.0,Reticulocyte
DNAJB4,0.0,0.0,Reticulocyte
AC103591.3,9.906e-05,0.0,Reticulocyte
IFI44L,1.16e-05,0.0,Reticulocyte
IFI44,0.0,0.0,Reticulocyte
LINC01781,8.5e-06,0.0,Reticulocyte
LINC01725,0.0,0.0,Reticulocyte
TTLL7,0.0,0.0,Reticulocyte
AL359504.2,0.0,0.0,Reticulocyte
PRKACB,0.0,0.0,Reticulocyte
SAMD13,0.0,0.0,Reticulocyte
RPF1,0.0,0.0,Reticulocyte
GNG5,0.0,0.0,Reticulocyte
SPATA1,0.0,0.0,Reticulocyte
CTBS,0.0,0.0,Reticulocyte
AL359762.1,0.0,0.0,Reticulocyte
SSX2IP,0.0,0.0,Reticulocyte
MCOLN2,0.0,0.0,Reticulocyte
SYDE2,0.0,0.0,Reticulocyte
C1orf52,0.0,0.0,Reticulocyte
BCL10,0.0,0.0,Reticulocyte
AL078459.1,0.0,0.0,Reticulocyte
ZNHIT6,0.0,0.0,Reticulocyte
COL24A1,0.0,0.0,Reticulocyte
ODF2L,0.0001328,0.0,Reticulocyte
AL049597.2,0.0,0.0,Reticulocyte
SH3GLB1,0.0,0.0,Reticulocyte
SELENOF,0.0,0.0,Reticulocyte
HS2ST1,0.0,0.0,Reticulocyte
LMO4,0.00010383,0.0,Reticulocyte
PKN2,0.0,0.0,Reticulocyte
GTF2B,0.0,0.0,Reticulocyte
KYAT3,0.0,0.0,Reticulocyte
RBMXL1,0.0,0.0,Reticulocyte
GBP3,0.0,0.0,Reticulocyte
GBP1,5.3e-05,0.0,Reticulocyte
GBP2,0.0001482,0.0,Reticulocyte
GBP4,7.44e-05,0.0,Reticulocyte
AC099063.4,0.0,0.0,Reticulocyte
GBP5,4.53e-05,0.0,Reticulocyte
LRRC8B,0.0,0.0,Reticulocyte
LRRC8C-DT,0.0,0.0,Reticulocyte
LRRC8C,0.0,0.0,Reticulocyte
AC099568.2,0.0,0.0,Reticulocyte
LRRC8D,0.0,0.0,Reticulocyte
ZNF326,0.0,0.0,Reticulocyte
ZNF644,0.0002685,0.0,Reticulocyte
CDC7,0.0,0.0,Reticulocyte
TGFBR3,2.635e-05,0.0,Reticulocyte
BTBD8,0.0,0.0,Reticulocyte
GLMN,0.0,0.0,Reticulocyte
